exchange,commodity,date,weekday,type
EEX,gas,2022-01-01,Saturday,holiday
EEX,gas,2022-01-02,Sunday,weekend
EEX,gas,2022-01-08,Saturday,weekend
EEX,gas,2022-01-09,Sunday,weekend
EEX,gas,2022-01-15,Saturday,weekend
EEX,gas,2022-01-16,Sunday,weekend
EEX,gas,2022-01-22,Saturday,weekend
EEX,gas,2022-01-23,Sunday,weekend
EEX,gas,2022-01-29,Saturday,weekend
EEX,gas,2022-01-30,Sunday,weekend
EEX,gas,2022-02-05,Saturday,weekend
EEX,gas,2022-02-06,Sunday,weekend
EEX,gas,2022-02-12,Saturday,weekend
EEX,gas,2022-02-13,Sunday,weekend
EEX,gas,2022-02-19,Saturday,weekend
EEX,gas,2022-02-20,Sunday,weekend
EEX,gas,2022-02-26,Saturday,weekend
EEX,gas,2022-02-27,Sunday,weekend
EEX,gas,2022-03-05,Saturday,weekend
EEX,gas,2022-03-06,Sunday,weekend
EEX,gas,2022-03-12,Saturday,weekend
EEX,gas,2022-03-13,Sunday,weekend
EEX,gas,2022-03-19,Saturday,weekend
EEX,gas,2022-03-20,Sunday,weekend
EEX,gas,2022-03-26,Saturday,weekend
EEX,gas,2022-03-27,Sunday,weekend
EEX,gas,2022-04-02,Saturday,weekend
EEX,gas,2022-04-03,Sunday,weekend
EEX,gas,2022-04-09,Saturday,weekend
EEX,gas,2022-04-10,Sunday,weekend
EEX,gas,2022-04-15,Friday,holiday
EEX,gas,2022-04-16,Saturday,weekend
EEX,gas,2022-04-17,Sunday,weekend
EEX,gas,2022-04-18,Monday,holiday
EEX,gas,2022-04-23,Saturday,weekend
EEX,gas,2022-04-24,Sunday,weekend
EEX,gas,2022-04-30,Saturday,weekend
EEX,gas,2022-05-01,Sunday,holiday
EEX,gas,2022-05-07,Saturday,weekend
EEX,gas,2022-05-08,Sunday,weekend
EEX,gas,2022-05-14,Saturday,weekend
EEX,gas,2022-05-15,Sunday,weekend
EEX,gas,2022-05-21,Saturday,weekend
EEX,gas,2022-05-22,Sunday,weekend
EEX,gas,2022-05-28,Saturday,weekend
EEX,gas,2022-05-29,Sunday,weekend
EEX,gas,2022-06-04,Saturday,weekend
EEX,gas,2022-06-05,Sunday,weekend
EEX,gas,2022-06-11,Saturday,weekend
EEX,gas,2022-06-12,Sunday,weekend
EEX,gas,2022-06-18,Saturday,weekend
EEX,gas,2022-06-19,Sunday,weekend
EEX,gas,2022-06-25,Saturday,weekend
EEX,gas,2022-06-26,Sunday,weekend
EEX,gas,2022-07-02,Saturday,weekend
EEX,gas,2022-07-03,Sunday,weekend
EEX,gas,2022-07-09,Saturday,weekend
EEX,gas,2022-07-10,Sunday,weekend
EEX,gas,2022-07-16,Saturday,weekend
EEX,gas,2022-07-17,Sunday,weekend
EEX,gas,2022-07-23,Saturday,weekend
EEX,gas,2022-07-24,Sunday,weekend
EEX,gas,2022-07-30,Saturday,weekend
EEX,gas,2022-07-31,Sunday,weekend
EEX,gas,2022-08-06,Saturday,weekend
EEX,gas,2022-08-07,Sunday,weekend
EEX,gas,2022-08-13,Saturday,weekend
EEX,gas,2022-08-14,Sunday,weekend
EEX,gas,2022-08-20,Saturday,weekend
EEX,gas,2022-08-21,Sunday,weekend
EEX,gas,2022-08-27,Saturday,weekend
EEX,gas,2022-08-28,Sunday,weekend
EEX,gas,2022-09-03,Saturday,weekend
EEX,gas,2022-09-04,Sunday,weekend
EEX,gas,2022-09-10,Saturday,weekend
EEX,gas,2022-09-11,Sunday,weekend
EEX,gas,2022-09-17,Saturday,weekend
EEX,gas,2022-09-18,Sunday,weekend
EEX,gas,2022-09-24,Saturday,weekend
EEX,gas,2022-09-25,Sunday,weekend
EEX,gas,2022-10-01,Saturday,weekend
EEX,gas,2022-10-02,Sunday,weekend
EEX,gas,2022-10-08,Saturday,weekend
EEX,gas,2022-10-09,Sunday,weekend
EEX,gas,2022-10-15,Saturday,weekend
EEX,gas,2022-10-16,Sunday,weekend
EEX,gas,2022-10-22,Saturday,weekend
EEX,gas,2022-10-23,Sunday,weekend
EEX,gas,2022-10-29,Saturday,weekend
EEX,gas,2022-10-30,Sunday,weekend
EEX,gas,2022-11-05,Saturday,weekend
EEX,gas,2022-11-06,Sunday,weekend
EEX,gas,2022-11-12,Saturday,weekend
EEX,gas,2022-11-13,Sunday,weekend
EEX,gas,2022-11-19,Saturday,weekend
EEX,gas,2022-11-20,Sunday,weekend
EEX,gas,2022-11-26,Saturday,weekend
EEX,gas,2022-11-27,Sunday,weekend
EEX,gas,2022-12-03,Saturday,weekend
EEX,gas,2022-12-04,Sunday,weekend
EEX,gas,2022-12-10,Saturday,weekend
